id,name,sex,age,Geburtsland,Land,Gründungsjahr
ra,Rocio Aleman,1,4,Mexiko,NA,NA
eb,Elisa Badenes,1,4,Spanien,NA,NA
mb,Mackenzie Brown,1,2,USA,NA,NA
mk,Miriam Kacerova,1,NA,Slowakei,NA,NA
Monterrey,Escuela superior de Música y Danza de Monterrey,NA,NA,NA,Mexiko,2
Stuttgart,John Cranko Schule,NA,NA,NA,Deutschland,2
Valenzia,Conservatorio Profesional de Danza de Valenzia,NA,NA,NA,Spanien,4
London,Royal Ballett School,NA,NA,NA,England,2
Virginia,Classical Ballet of Fredericksburg,NA,NA,NA,USA,5
Monaco,Académie de Danse Classique Princess Grace,NA,NA,NA,Frankreich,3
Bratislava,Konservatorium für Tanz,NA,NA,NA,Slowakei,2
Zürich,Ballettschule für das Opernhaus Zürich,NA,NA,NA,Schweiz,3
ao,Anna Osadcenko,1,NA,Kasachstan,NA,NA
Almaty,Academic A B Selesnew,NA,NA,NA,Kasachstan,1934
